path,line,column,severity,rule,classification,message
admin_console/views/scripts/index/memcache.phtml,510,17,ERROR,PHPCompatibility.ParameterValues.NewHTMLEntitiesFlagsDefault.NotSet,unverified static candidate,"The default value of the $flags parameter for htmlentities() was changed from ENT_COMPAT to ENT_QUOTES | ENT_SUBSTITUTE | ENT_HTML401 in PHP 8.1. For cross-version compatibility, the $flags parameter should be explicitly set."
admin_console/views/scripts/index/memcache.phtml,826,19,ERROR,PHPCompatibility.ParameterValues.NewHTMLEntitiesFlagsDefault.NotSet,unverified static candidate,"The default value of the $flags parameter for htmlentities() was changed from ENT_COMPAT to ENT_QUOTES | ENT_SUBSTITUTE | ENT_HTML401 in PHP 8.1. For cross-version compatibility, the $flags parameter should be explicitly set."
admin_console/views/scripts/index/memcache.phtml,850,19,ERROR,PHPCompatibility.ParameterValues.NewHTMLEntitiesFlagsDefault.NotSet,unverified static candidate,"The default value of the $flags parameter for htmlentities() was changed from ENT_COMPAT to ENT_QUOTES | ENT_SUBSTITUTE | ENT_HTML401 in PHP 8.1. For cross-version compatibility, the $flags parameter should be explicitly set."
admin_console/views/scripts/index/testme-doc.phtml,1,1,WARNING,Internal.NoCodeFound,unverified static candidate,No PHP code was found in this file and short open tags are not allowed by this install of PHP. This file may be using short open tags but PHP does not allow them.
admin_console/views/scripts/index/testme.phtml,1,1,WARNING,Internal.NoCodeFound,unverified static candidate,No PHP code was found in this file and short open tags are not allowed by this install of PHP. This file may be using short open tags but PHP does not allow them.
admin_console/views/scripts/index/xsd-doc.phtml,1,1,WARNING,Internal.NoCodeFound,unverified static candidate,No PHP code was found in this file and short open tags are not allowed by this install of PHP. This file may be using short open tags but PHP does not allow them.
admin_console/views/scripts/plugin/index.phtml,1,1,WARNING,Internal.NoCodeFound,unverified static candidate,No PHP code was found in this file and short open tags are not allowed by this install of PHP. This file may be using short open tags but PHP does not allow them.
admin_console/views/scripts/user/index.phtml,35,19,ERROR,PHPCompatibility.ParameterValues.RemovedImplodeFlexibleParamOrder.Removed,unverified static candidate,Passing the $glue and $pieces parameters in reverse order to implode has been deprecated since PHP 7.4 and is removed since PHP 8.0; $glue should be the first parameter and $pieces the second
alpha/apps/kaltura/lib/KDLWrap.php,34,50,WARNING,PHPCompatibility.FunctionDeclarations.RemovedOptionalBeforeRequiredParam.Deprecated80,unverified static candidate,"Declaring an optional parameter before a required parameter is deprecated since PHP 8.0. Parameter $cdlMediaInfo is optional, while parameter $cdlFlavorList is required. The $cdlMediaInfo parameter is implicitly treated as a required parameter."
alpha/apps/kaltura/lib/Services_JSON.class.php,176,29,ERROR,PHPCompatibility.Syntax.RemovedCurlyBraceArrayAccess.Removed,unverified static candidate,Curly brace syntax for accessing array elements and string offsets has been deprecated in PHP 7.4 and removed in PHP 8.0. Found: $utf16{0}
alpha/apps/kaltura/lib/Services_JSON.class.php,176,52,ERROR,PHPCompatibility.Syntax.RemovedCurlyBraceArrayAccess.Removed,unverified static candidate,Curly brace syntax for accessing array elements and string offsets has been deprecated in PHP 7.4 and removed in PHP 8.0. Found: $utf16{1}
alpha/apps/kaltura/lib/Services_JSON.class.php,229,45,ERROR,PHPCompatibility.Syntax.RemovedCurlyBraceArrayAccess.Removed,unverified static candidate,Curly brace syntax for accessing array elements and string offsets has been deprecated in PHP 7.4 and removed in PHP 8.0. Found: $utf8{0}
